SNo,Country,Confirmed,Deaths,Recovered
451,Mainland China,52,1,1
452,Mainland China,48,0,1
453,Mainland China,39,0,1
454,Mainland China,32,0,0
455,Mainland China,29,0,2
456,Mainland China,29,0,0
457,Mainland China,21,0,0
458,Mainland China,20,0,1
459,Mainland China,17,0,0
460,Mainland China,14,0,1
463,Mainland China,8,0,0
465,Mainland China,1,0,0
469,South Korea,11,0,0
476,US,2,0,0
477,US,2,0,0
484,US,1,0,0
485,US,1,0,0
494,Mainland China,7153,249,168
495,Mainland China,599,0,21
496,Mainland China,535,0,14
497,Mainland China,422,2,3
498,Mainland China,389,0,8
499,Mainland China,297,0,5
500,Mainland China,286,0,9
501,Mainland China,247,1,3
502,Mainland China,207,1,3
503,Mainland China,206,0,3
504,Mainland China,202,0,6
505,Mainland China,169,1,10
506,Mainland China,168,1,9
507,Mainland China,144,0,0
508,Mainland China,101,0,0
509,Mainland China,100,0,2
510,Mainland China,96,1,0
511,Mainland China,93,0,2
512,Mainland China,80,2,2
513,Mainland China,64,0,1
514,Mainland China,62,1,1
515,Mainland China,47,0,1
516,Mainland China,41,0,0
517,Mainland China,40,0,0
518,Mainland China,29,0,2
519,Mainland China,26,0,0
520,Mainland China,23,0,1
523,Mainland China,18,0,0
524,Mainland China,17,0,1
527,South Korea,12,0,0
529,Mainland China,9,0,0
543,US,2,0,0
555,US,1,0,0
556,US,1,0,0
557,US,1,0,0
558,US,1,0,0
559,US,1,0,0
560,US,1,0,0
561,Mainland China,11177,350,295
562,Mainland China,661,0,32
563,Mainland China,632,0,15
564,Mainland China,493,2,10
565,Mainland China,463,0,16
566,Mainland China,340,0,7
567,Mainland China,333,0,12
568,Mainland China,300,2,7
569,Mainland China,236,0,7
570,Mainland China,231,1,11
571,Mainland China,230,0,6
572,Mainland China,191,1,9
573,Mainland China,182,1,10
574,Mainland China,159,0,0
575,Mainland China,116,0,0
576,Mainland China,111,0,2
577,Mainland China,105,0,3
578,Mainland China,104,1,3
579,Mainland China,95,2,2
580,Mainland China,70,0,1
581,Mainland China,66,0,3
582,Mainland China,64,1,4
583,Mainland China,51,0,3
584,Mainland China,48,0,1
585,Mainland China,38,0,2
586,Mainland China,28,0,0
587,Mainland China,27,0,1
588,Mainland China,23,0,1
589,Mainland China,21,0,0
594,South Korea,15,0,0
595,Mainland China,11,0,0
613,US,2,0,0
617,Mainland China,1,0,0
622,US,1,0,0
623,US,1,0,0
624,US,1,0,0
625,US,1,0,0
626,US,1,0,0
627,US,1,0,0
628,Mainland China,13522,414,386
629,Mainland China,725,0,21
630,Mainland China,724,0,43
631,Mainland China,566,2,16
632,Mainland China,521,0,22
633,Mainland China,408,0,14
634,Mainland China,391,0,18
635,Mainland China,337,2,9
636,Mainland China,271,0,8
637,Mainland China,259,0,7
638,Mainland China,254,1,14
639,Mainland China,212,1,12
640,Mainland China,203,1,10
641,Mainland China,179,0,1
642,Mainland China,128,0,0
643,Mainland China,127,0,7
644,Mainland China,121,2,2
645,Mainland China,117,0,5
646,Mainland China,113,1,3
647,Mainland China,74,0,1
648,Mainland China,74,0,2
649,Mainland China,72,1,4
650,Mainland China,60,0,1
651,Mainland China,55,0,3
652,Mainland China,46,0,2
653,Mainland China,34,0,1
654,Mainland China,31,0,1
655,Mainland China,31,0,1
656,Mainland China,24,0,0
661,South Korea,15,0,0
662,Mainland China,13,0,0
680,US,2,0,0
681,US,2,0,0
682,US,2,0,0
686,Mainland China,1,0,0
691,US,1,0,0
692,US,1,0,0
693,US,1,0,0
694,US,1,0,0
695,US,1,0,0
696,Mainland China,16678,479,522
697,Mainland China,829,0,62
698,Mainland China,813,0,30
699,Mainland China,675,2,27
700,Mainland China,593,0,31
701,Mainland China,480,0,20
702,Mainland China,476,0,20
703,Mainland China,366,2,9
704,Mainland China,308,0,12
705,Mainland China,282,1,14
706,Mainland China,275,0,11
707,Mainland China,228,1,23
708,Mainland China,219,1,12
709,Mainland China,194,0,3
710,Mainland China,155,2,4
711,Mainland China,142,0,2
712,Mainland China,139,0,10
713,Mainland China,126,1,4
714,Mainland China,122,0,5
715,Mainland China,81,0,2
716,Mainland China,81,0,4
717,Mainland China,80,1,5
718,Mainland China,67,0,2
719,Mainland China,58,0,2
720,Mainland China,57,0,4
721,Mainland China,42,0,1
722,Mainland China,35,0,1
723,Mainland China,34,0,1
724,Mainland China,29,0,0
729,South Korea,16,0,0
730,Mainland China,15,0,0
748,US,2,0,0
749,US,2,0,0
750,US,2,0,0
761,US,1,0,0
762,US,1,0,0
763,US,1,0,0
764,US,1,0,0
765,US,1,0,0
766,Mainland China,19665,549,633
767,Mainland China,895,0,49
768,Mainland China,895,0,78
769,Mainland China,764,2,47
770,Mainland China,661,0,54
771,Mainland China,548,0,27
772,Mainland China,530,0,23
773,Mainland China,389,2,15
774,Mainland China,341,0,23
775,Mainland China,307,0,15
776,Mainland China,301,1,24
777,Mainland China,253,1,24
778,Mainland China,243,1,15
779,Mainland China,205,0,11
780,Mainland China,190,2,7
781,Mainland China,165,0,6
782,Mainland China,150,0,13
783,Mainland China,135,1,6
784,Mainland China,128,0,5
785,Mainland China,99,1,5
786,Mainland China,89,0,4
787,Mainland China,81,0,5
788,Mainland China,69,1,2
789,Mainland China,64,1,9
790,Mainland China,62,0,6
791,Mainland China,54,0,2
792,Mainland China,42,0,3
793,Mainland China,34,0,1
794,Mainland China,32,0,0
799,South Korea,19,0,0
800,Mainland China,17,0,3
819,US,2,0,0
820,US,2,0,0
821,US,2,0,0
831,US,1,0,0
832,US,1,0,0
833,US,1,0,0
834,US,1,0,0
835,US,1,0,0
836,US,1,0,0
837,Mainland China,22112,618,817
838,Mainland China,970,0,69
839,Mainland China,954,0,94
840,Mainland China,851,2,56
841,Mainland China,711,0,81
842,Mainland China,600,0,37
843,Mainland China,591,0,34
844,Mainland China,411,2,24
845,Mainland China,373,0,34
846,Mainland China,347,0,27
847,Mainland China,321,1,31
848,Mainland China,274,1,31
849,Mainland China,257,1,25
850,Mainland China,227,3,8
851,Mainland China,215,0,14
852,Mainland China,173,0,9
853,Mainland China,168,0,14
854,Mainland China,157,1,13
855,Mainland China,133,0,7
856,Mainland China,106,1,8
857,Mainland China,96,0,12
858,Mainland China,94,0,5
859,Mainland China,79,1,2
860,Mainland China,71,1,6
861,Mainland China,62,0,6
862,Mainland China,59,0,4
863,Mainland China,46,0,4
865,Mainland China,40,0,1
866,Mainland China,36,0,0
870,South Korea,23,0,0
871,Mainland China,18,0,3
890,US,2,0,0
891,US,2,0,0
892,US,2,0,0
902,US,1,0,0
903,US,1,0,0
904,US,1,0,0
905,US,1,0,0
906,US,1,0,0
907,US,1,0,0
908,Mainland China,24953,699,1115
909,Mainland China,1034,1,88
910,Mainland China,1006,0,123
911,Mainland China,914,3,86
912,Mainland China,772,0,112
913,Mainland China,665,0,47
914,Mainland China,661,0,45
915,Mainland China,426,2,31
916,Mainland China,408,0,43
917,Mainland China,386,0,37
918,Mainland China,344,1,42
919,Mainland China,297,1,33
920,Mainland China,277,3,12
921,Mainland China,277,1,30
922,Mainland China,224,0,20
923,Mainland China,184,0,17
924,Mainland China,172,0,17
925,Mainland China,172,1,22
926,Mainland China,138,0,12
927,Mainland China,117,2,10
928,Mainland China,104,0,15
929,Mainland China,99,0,7
930,Mainland China,81,1,6
931,Mainland China,81,1,2
932,Mainland China,67,0,9
933,Mainland China,65,1,4
935,Mainland China,50,0,5
936,Mainland China,43,0,5
937,Mainland China,39,0,0
942,South Korea,24,0,1
943,Mainland China,18,0,3
962,US,2,0,0
963,US,2,0,0
964,US,2,0,0
974,US,1,0,0
975,US,1,0,0
976,US,1,0,0
977,US,1,0,0
978,US,1,0,0
979,US,1,0,0
980,Mainland China,27100,780,1439
981,Mainland China,1095,1,112
982,Mainland China,1048,0,175
983,Mainland China,981,4,116
984,Mainland China,803,1,156
985,Mainland China,733,0,59
986,Mainland China,698,0,55
987,Mainland China,439,0,51
988,Mainland China,428,2,39
989,Mainland China,416,0,44
990,Mainland China,364,1,60
991,Mainland China,315,2,34
992,Mainland China,295,5,13
993,Mainland China,286,1,41
994,Mainland China,239,0,24
995,Mainland China,195,1,30
996,Mainland China,195,0,20
997,Mainland China,183,0,17
998,Mainland China,138,0,17
999,Mainland China,124,2,14
1000,Mainland China,115,0,21
1001,Mainland China,105,0,8
1002,Mainland China,89,1,7
1003,Mainland China,88,1,4
